Station ID,Station Name,Latitude,Longitude,Free Bikes,Empty Slots,Total Capacity,Operational Status,Last Updated,Data Fetch Timestamp
fb848740232947ffa050f15ea0b72483,TALBOT STREET,53.330995,-6.260527,1,19,20,CLOSED,2024-10-16T19:04:52.904227Z,10/16/2024 19:20
82ef607558c14207bbdd3b6b49b34100,TALBOT STREET,53.349985,-6.256698,6,24,30,CLOSED,2024-10-16T19:00:52.904227Z,10/16/2024 19:20
3c27a8eb376f460d89440055cb647611,GRAND CANAL DOCK,53.357732,-6.241132,1,24,25,CLOSED,2024-10-16T18:59:52.904227Z,10/16/2024 19:20
d218aa93d65642b3a557ae498207de67,HIGH STREET,53.337529,-6.266259,19,16,35,OPEN,2024-10-16T19:07:52.904227Z,10/16/2024 19:20
d36f0b223f7340c7808575d84b283831,ST. STEPHEN'S GREEN,53.354192,-6.262061,15,5,20,OPEN,2024-10-16T18:39:52.904227Z,10/16/2024 19:20
735fbeec70fa4697bb597e72789eb09d,MERRION SQUARE,53.356194,-6.237537,6,14,20,CLOSED,2024-10-16T19:04:52.904227Z,10/16/2024 19:20
e307905547684f7f901173b9ff5df3e6,MERRION SQUARE,53.339251,-6.274302,19,1,20,CLOSED,2024-10-16T18:56:52.904227Z,10/16/2024 19:20
821b058c937f49289059d1b390b10432,SMITHFIELD,53.344278,-6.279043,0,35,35,CLOSED,2024-10-16T18:59:52.904227Z,10/16/2024 19:20
0155196b1f504c9f9410f6e4291de234,ST. STEPHEN'S GREEN,53.351561,-6.272022,1,34,35,CLOSED,2024-10-16T18:31:52.904227Z,10/16/2024 19:20
9c3090e4230f4cb98e961c22115c4545,KING STREET NORTH,53.336384,-6.270174,31,9,40,CLOSED,2024-10-16T18:43:52.904227Z,10/16/2024 19:20
30063ece420a435d8852a2a6236ea09d,HIGH STREET,53.341115,-6.242084,26,9,35,CLOSED,2024-10-16T18:32:52.904227Z,10/16/2024 19:20
7e64d47580f34bab857942445db35647,MERRION SQUARE,53.340087,-6.259635,3,17,20,OPEN,2024-10-16T18:44:52.904227Z,10/16/2024 19:20
7cbdb0c0d5d443cbba479d332870dd22,GRATTAN STREET,53.359879,-6.273878,12,8,20,OPEN,2024-10-16T18:28:52.904227Z,10/16/2024 19:20
bd5e192eefe64446855c9e69d95f45ac,HIGH STREET,53.334386,-6.271195,11,19,30,CLOSED,2024-10-16T18:35:52.904227Z,10/16/2024 19:20
113321ab87c04ea6b4306f3ff425b76d,HIGH STREET,53.343939,-6.257975,19,21,40,OPEN,2024-10-16T18:31:52.904227Z,10/16/2024 19:20
a80f84233b37489da6128ab0b2523d65,TALBOT STREET,53.359192,-6.26114,24,16,40,OPEN,2024-10-16T18:37:52.904227Z,10/16/2024 19:20
e11fa70a54c64ce6b3591a5df689b7e2,PEARSE STREET,53.334663,-6.235743,15,5,20,CLOSED,2024-10-16T18:47:52.904227Z,10/16/2024 19:20
f6f8a53ca6ec4e4ebfa5aecc6242263d,HATCH STREET,53.35857,-6.273255,0,25,25,CLOSED,2024-10-16T18:55:52.904227Z,10/16/2024 19:20
f2deea300e86446d84fa7b690d46d1b5,KING STREET NORTH,53.336731,-6.250099,31,9,40,CLOSED,2024-10-16T18:25:52.904227Z,10/16/2024 19:20
7144b512271f44d3851cbf0ff5a2d8f3,HIGH STREET,53.344735,-6.270402,17,18,35,OPEN,2024-10-16T18:41:52.904227Z,10/16/2024 19:20
7fc40cb9671148d28dc394b985e18335,MOUNTJOY SQUARE,53.353713,-6.271858,14,11,25,CLOSED,2024-10-16T18:43:52.904227Z,10/16/2024 19:20
1d65f87ab4b1464fa317130f8ac07051,GRAND CANAL DOCK,53.341295,-6.258992,2,38,40,CLOSED,2024-10-16T18:33:52.904227Z,10/16/2024 19:20
15001df7c75647cd8e6c675d65e22523,SMITHFIELD,53.350827,-6.277373,3,37,40,OPEN,2024-10-16T18:27:52.904227Z,10/16/2024 19:20
9718ae945aa8439a9e7187293595ffba,HIGH STREET,53.345625,-6.257887,20,20,40,OPEN,2024-10-16T19:17:52.904227Z,10/16/2024 19:20
2b373e28d10e442c8d9d1ebb6169de7a,GRATTAN STREET,53.357943,-6.266597,33,7,40,CLOSED,2024-10-16T18:39:52.904227Z,10/16/2024 19:20
848e361c1e1c442e941657abdf7a08a9,MERRION SQUARE,53.349592,-6.272456,9,11,20,CLOSED,2024-10-16T19:06:52.904227Z,10/16/2024 19:20
69fab59495384fb3b26c75074fc85b88,HATCH STREET,53.330932,-6.273519,2,28,30,CLOSED,2024-10-16T18:52:52.904227Z,10/16/2024 19:20
d97df283950e47e3b3ee8fcf48bbc4c4,HATCH STREET,53.359842,-6.2509,18,2,20,CLOSED,2024-10-16T18:28:52.904227Z,10/16/2024 19:20
9e26169d120549a48672726706fdabd0,GRAND CANAL DOCK,53.356681,-6.236789,25,10,35,CLOSED,2024-10-16T19:11:52.904227Z,10/16/2024 19:20
98da44f52e914d9abeca61663e722f5a,GRAND CANAL DOCK,53.348301,-6.257642,20,0,20,OPEN,2024-10-16T18:59:52.904227Z,10/16/2024 19:20
eaff857d23b848f2b15dd4bd0cbe44d2,ST. STEPHEN'S GREEN,53.337911,-6.243249,5,25,30,OPEN,2024-10-16T18:48:52.904227Z,10/16/2024 19:20
5e76be4ff3864c4e9d165e39ef07528a,WILTON TERRACE,53.338775,-6.273432,4,31,35,CLOSED,2024-10-16T18:54:52.904227Z,10/16/2024 19:20
d3580c3fcd8b4b48bb1b1cdbfc222a23,MOUNTJOY SQUARE,53.355656,-6.268162,31,9,40,CLOSED,2024-10-16T19:15:52.904227Z,10/16/2024 19:20
9fb55d6f8e44472a9a80871072090cd1,SMITHFIELD,53.343081,-6.239135,12,23,35,CLOSED,2024-10-16T18:41:52.904227Z,10/16/2024 19:20
b0b18cc94bc645e89158da6524e9db36,ST. STEPHEN'S GREEN,53.349128,-6.251965,22,3,25,OPEN,2024-10-16T18:53:52.904227Z,10/16/2024 19:20
b652e6d8ed3e4b27946dfa87fef093a4,KING STREET NORTH,53.333393,-6.271335,5,15,20,OPEN,2024-10-16T19:16:52.904227Z,10/16/2024 19:20
f943e554ad224b26bacec803d0a9ebe4,ST. STEPHEN'S GREEN,53.341655,-6.241765,12,18,30,CLOSED,2024-10-16T19:00:52.904227Z,10/16/2024 19:20
5726e42ee9e94d7ca0429f04007da95f,HIGH STREET,53.340658,-6.240803,16,14,30,CLOSED,2024-10-16T19:07:52.904227Z,10/16/2024 19:20
17e2eb43de1e4f5d8bdcfc6e78c8a38d,HIGH STREET,53.335827,-6.254868,17,18,35,OPEN,2024-10-16T18:37:52.904227Z,10/16/2024 19:20
ebc9951fbc04474daf891acfd83fcaf9,MOUNTJOY SQUARE,53.355256,-6.271706,18,7,25,CLOSED,2024-10-16T19:17:52.904227Z,10/16/2024 19:20
fa83ecd44d5d409c9759a0c2e0bc744b,HEUSTON STATION,53.337773,-6.279533,1,24,25,CLOSED,2024-10-16T19:17:52.904227Z,10/16/2024 19:20
01560a5ff595450b85b559903353e32e,HEUSTON STATION,53.330229,-6.278346,3,32,35,OPEN,2024-10-16T19:14:52.904227Z,10/16/2024 19:20
c2f4810429654d9392482a916d6841a0,WILTON TERRACE,53.331451,-6.236845,0,40,40,OPEN,2024-10-16T18:31:52.904227Z,10/16/2024 19:20
889e65edb15944df90c31051d15dcef7,PEARSE STREET,53.347669,-6.242671,9,21,30,CLOSED,2024-10-16T18:25:52.904227Z,10/16/2024 19:20
8d9f1fbb9e3549999109075a26b9247f,TALBOT STREET,53.346935,-6.263078,2,38,40,CLOSED,2024-10-16T19:17:52.904227Z,10/16/2024 19:20
94b9790fe8294e8e9aa5ffa81c033738,ECCLES STREET,53.350116,-6.244154,13,7,20,CLOSED,2024-10-16T19:19:52.904227Z,10/16/2024 19:20
81df26146b234cc0bc048c4243214f1a,TALBOT STREET,53.345967,-6.247524,8,12,20,CLOSED,2024-10-16T19:00:52.904227Z,10/16/2024 19:20
1d73bbe7783946b2b7e2755ac4217142,GRATTAN STREET,53.33242,-6.244309,17,8,25,OPEN,2024-10-16T18:20:52.904227Z,10/16/2024 19:20
00a1af8135f14964bcea1bd672c78a26,GRATTAN STREET,53.359553,-6.264319,40,0,40,OPEN,2024-10-16T18:21:52.904227Z,10/16/2024 19:20
c1ed4b83aa3c4c0880f58a7b999b1c70,MOUNTJOY SQUARE,53.350665,-6.261864,4,31,35,CLOSED,2024-10-16T18:22:52.904227Z,10/16/2024 19:20
1b310a98f0a54b9f8cd4f04dda4b4c9e,HEUSTON STATION,53.341045,-6.244276,15,5,20,OPEN,2024-10-16T18:29:52.904227Z,10/16/2024 19:20
f6e93af323a34f9fa68853e6ad1f17ed,TALBOT STREET,53.350776,-6.266474,12,28,40,OPEN,2024-10-16T18:47:52.904227Z,10/16/2024 19:20
7d7dfedac68744869aca374c69d11109,ECCLES STREET,53.342243,-6.27115,34,1,35,CLOSED,2024-10-16T18:37:52.904227Z,10/16/2024 19:20
547c1d770ff248c8bd6916c0ab84faeb,ST. STEPHEN'S GREEN,53.358115,-6.232727,9,31,40,OPEN,2024-10-16T18:33:52.904227Z,10/16/2024 19:20
669bfab209154298a28b73c5827c1264,GRAND CANAL DOCK,53.337664,-6.268811,31,4,35,CLOSED,2024-10-16T19:00:52.904227Z,10/16/2024 19:20
c1fc8223389241d19971b64dae043ece,ECCLES STREET,53.359466,-6.268026,7,13,20,OPEN,2024-10-16T19:08:52.904227Z,10/16/2024 19:20
d3ce1724e6d14d80a7c44d87b0a04d6a,PEARSE STREET,53.359295,-6.25616,26,9,35,CLOSED,2024-10-16T18:21:52.904227Z,10/16/2024 19:20
ca9fba284f384f2183816be293cedd9c,TALBOT STREET,53.33707,-6.270773,14,6,20,OPEN,2024-10-16T19:08:52.904227Z,10/16/2024 19:20
70b6ab5d58cf4b14adae130bd1278c66,MOUNTJOY SQUARE,53.331455,-6.230841,25,0,25,OPEN,2024-10-16T18:40:52.904227Z,10/16/2024 19:20
1e44922f05c948f1a12f56b161437124,GRATTAN STREET,53.342563,-6.264397,19,16,35,CLOSED,2024-10-16T18:28:52.904227Z,10/16/2024 19:20
09baf402e99b494489a2a5b237d9d29b,HATCH STREET,53.34187,-6.238732,25,10,35,CLOSED,2024-10-16T18:47:52.904227Z,10/16/2024 19:20
7e120a94d0e34454beffd8c958d79a70,PARNELL SQUARE,53.33856,-6.268514,20,5,25,OPEN,2024-10-16T18:23:52.904227Z,10/16/2024 19:20
8754927a0e994e37b93c1d1bec816bcc,MERRION SQUARE,53.357344,-6.275032,20,0,20,OPEN,2024-10-16T19:03:52.904227Z,10/16/2024 19:20
967a4bd6be564952b454bcde3cbf00ec,TALBOT STREET,53.333227,-6.266708,23,17,40,OPEN,2024-10-16T19:17:52.904227Z,10/16/2024 19:20
f80262ed22bf4d7f8a49abb420bfac2b,PARNELL SQUARE,53.338315,-6.246042,18,17,35,CLOSED,2024-10-16T18:42:52.904227Z,10/16/2024 19:20
78dd1520d53f4775867fc4513b2702e1,ST. STEPHEN'S GREEN,53.357866,-6.237175,4,36,40,CLOSED,2024-10-16T19:14:52.904227Z,10/16/2024 19:20
61c4ffaa4ffb469d83b3f98c462d6252,HIGH STREET,53.355195,-6.244083,22,8,30,OPEN,2024-10-16T18:34:52.904227Z,10/16/2024 19:20
0933d1b767c24766b60db24328ea599c,KING STREET NORTH,53.357197,-6.237334,34,6,40,OPEN,2024-10-16T18:39:52.905251Z,10/16/2024 19:20
fbe7f9ea2f654a5daf1d042b87d74c2b,KING STREET NORTH,53.341611,-6.247038,3,37,40,CLOSED,2024-10-16T18:24:52.905251Z,10/16/2024 19:20
3ad462e44139465abc387ef8bad30e4c,PEARSE STREET,53.345944,-6.254932,4,16,20,OPEN,2024-10-16T19:09:52.905251Z,10/16/2024 19:20
b9cd4538b2ec4e59b56524743bdced30,PEARSE STREET,53.338778,-6.234489,2,33,35,CLOSED,2024-10-16T18:35:52.905251Z,10/16/2024 19:20
